cm-1;%T
2822,00;93,89
2821,00;93,98
2820,00;94,06
2819,00;94,14
2818,00;94,21
2817,00;94,27
2816,00;94,33
2815,00;94,38
2814,00;94,43
2813,00;94,48
2812,00;94,53
2811,00;94,58
2810,00;94,63
2809,00;94,67
2808,00;94,71
2807,00;94,75
2806,00;94,79
2805,00;94,83
2804,00;94,87
2803,00;94,90
2802,00;94,93
2801,00;94,97
2800,00;95,00
2799,00;95,03
2798,00;95,06
2797,00;95,09
2796,00;95,12
2795,00;95,15
2794,00;95,17
2793,00;95,20
2792,00;95,22
2791,00;95,25
2790,00;95,27
2789,00;95,29
2788,00;95,31
2787,00;95,33
2786,00;95,35
2785,00;95,37
2784,00;95,38
2783,00;95,40
2782,00;95,42
2781,00;95,44
2780,00;95,45
2779,00;95,46
2778,00;95,48
2777,00;95,49
2776,00;95,51
2775,00;95,52
2774,00;95,53
2773,00;95,54
2772,00;95,55
2771,00;95,56
2770,00;95,57
2769,00;95,58
2768,00;95,59
2767,00;95,61
2766,00;95,62
2765,00;95,63
2764,00;95,64
2763,00;95,65
2762,00;95,66
2761,00;95,67
2760,00;95,68
2759,00;95,70
2758,00;95,71
2757,00;95,72
2756,00;95,73
2755,00;95,74
2754,00;95,75
2753,00;95,76
2752,00;95,76
2751,00;95,78
2750,00;95,79
2749,00;95,80
2748,00;95,81
2747,00;95,81
2746,00;95,82
2745,00;95,83
2744,00;95,84
2743,00;95,85
2742,00;95,86
2741,00;95,87
2740,00;95,88
2739,00;95,88
2738,00;95,89
2737,00;95,90
2736,00;95,90
2735,00;95,90
2734,00;95,90
2733,00;95,91
2732,00;95,91
2731,00;95,92
2730,00;95,93
2729,00;95,93
2728,00;95,94
2727,00;95,95
2726,00;95,96
2725,00;95,97
2724,00;95,97
2723,00;95,97
2722,00;95,97
2721,00;95,97
2720,00;95,97
2719,00;95,97
2718,00;95,97
2717,00;95,97
2716,00;95,97
2715,00;95,96
2714,00;95,96
2713,00;95,95
2712,00;95,95
2711,00;95,94
2710,00;95,94
2709,00;95,93
2708,00;95,93
2707,00;95,93
2706,00;95,93
2705,00;95,93
2704,00;95,93
2703,00;95,92
2702,00;95,92
2701,00;95,91
2700,00;95,91
2699,00;95,90
2698,00;95,90
2697,00;95,90
2696,00;95,90
2695,00;95,89
2694,00;95,89
2693,00;95,88
2692,00;95,88
2691,00;95,88
2690,00;95,88
2689,00;95,88
2688,00;95,88
2687,00;95,88
2686,00;95,88
2685,00;95,87
2684,00;95,87
2683,00;95,87
2682,00;95,88
2681,00;95,88
2680,00;95,88
2679,00;95,89
2678,00;95,89
2677,00;95,89
2676,00;95,89
2675,00;95,90
2674,00;95,90
2673,00;95,90
2672,00;95,91
2671,00;95,92
2670,00;95,92
2669,00;95,93
2668,00;95,93
2667,00;95,93
2666,00;95,94
2665,00;95,94
2664,00;95,94
2663,00;95,95
2662,00;95,95
2661,00;95,96
2660,00;95,96
2659,00;95,96
2658,00;95,97
2657,00;95,97
2656,00;95,98
2655,00;95,98
2654,00;95,99
2653,00;95,99
2652,00;96,00
2651,00;96,01
2650,00;96,02
2649,00;96,03
2648,00;96,03
2647,00;96,04
2646,00;96,04
2645,00;96,04
2644,00;96,05
2643,00;96,06
2642,00;96,06
2641,00;96,07
2640,00;96,08
2639,00;96,08
2638,00;96,09
2637,00;96,09
2636,00;96,10
2635,00;96,11
2634,00;96,12
2633,00;96,13
2632,00;96,14
2631,00;96,16
2630,00;96,17
2629,00;96,18
2628,00;96,19
2627,00;96,21
2626,00;96,22
2625,00;96,23
2624,00;96,24
2623,00;96,25
2622,00;96,26
2621,00;96,27
2620,00;96,28
2619,00;96,29
2618,00;96,30
2617,00;96,31
2616,00;96,31
2615,00;96,33
2614,00;96,34
2613,00;96,35
2612,00;96,36
2611,00;96,37
2610,00;96,38
2609,00;96,40
2608,00;96,41
2607,00;96,42
2606,00;96,43
2605,00;96,44
2604,00;96,45
2603,00;96,45
2602,00;96,46
2601,00;96,47
2600,00;96,48
2599,00;96,48
2598,00;96,49
2597,00;96,50
2596,00;96,51
2595,00;96,52
2594,00;96,53
2593,00;96,55
2592,00;96,57
2591,00;96,59
2590,00;96,60
2589,00;96,61
2588,00;96,62
2587,00;96,62
2586,00;96,63
2585,00;96,63
2584,00;96,64
2583,00;96,64
2582,00;96,65
2581,00;96,67
2580,00;96,68
2579,00;96,68
2578,00;96,68
2577,00;96,68
2576,00;96,68
2575,00;96,68
2574,00;96,68
2573,00;96,69
2572,00;96,69
2571,00;96,70
2570,00;96,70
2569,00;96,71
2568,00;96,71
2567,00;96,72
2566,00;96,73
2565,00;96,73
2564,00;96,74
2563,00;96,75
2562,00;96,75
2561,00;96,76
2560,00;96,76
2559,00;96,77
2558,00;96,77
2557,00;96,78
2556,00;96,79
2555,00;96,79
2554,00;96,80
2553,00;96,81
2552,00;96,82
2551,00;96,83
2550,00;96,85
2549,00;96,87
2548,00;96,88
2547,00;96,89
2546,00;96,90
2545,00;96,91
2544,00;96,91
2543,00;96,92
2542,00;96,93
2541,00;96,94
2540,00;96,94
2539,00;96,95
2538,00;96,96
2537,00;96,97
2536,00;96,99
2535,00;97,00
2534,00;97,00
2533,00;97,00
2532,00;97,00
2531,00;97,01
2530,00;97,02
2529,00;97,03
2528,00;97,05
2527,00;97,06
2526,00;97,08
2525,00;97,10
2524,00;97,12
2523,00;97,14
2522,00;97,16
2521,00;97,19
2520,00;97,20
2519,00;97,21
2518,00;97,22
2517,00;97,23
2516,00;97,24
2515,00;97,25
2514,00;97,26
2513,00;97,27
2512,00;97,27
2511,00;97,29
2510,00;97,30
2509,00;97,31
2508,00;97,33
2507,00;97,34
2506,00;97,36
2505,00;97,37
2504,00;97,38
2503,00;97,39
2502,00;97,40
2501,00;97,41
2500,00;97,42
2499,00;97,43
2498,00;97,44
2497,00;97,45
2496,00;97,45
2495,00;97,46
2494,00;97,46
2493,00;97,47
2492,00;97,48
2491,00;97,49
2490,00;97,50
2489,00;97,51
2488,00;97,52
2487,00;97,53
2486,00;97,54
2485,00;97,55
2484,00;97,56
2483,00;97,57
2482,00;97,58
2481,00;97,59
2480,00;97,59
2479,00;97,59
2478,00;97,60
2477,00;97,60
2476,00;97,61
2475,00;97,62
2474,00;97,63
2473,00;97,64
2472,00;97,64
2471,00;97,65
2470,00;97,66
2469,00;97,67
2468,00;97,68
2467,00;97,69
2466,00;97,71
2465,00;97,72
2464,00;97,72
2463,00;97,73
2462,00;97,73
2461,00;97,74
2460,00;97,75
2459,00;97,76
2458,00;97,76
