cm-1;%T
2607,00;98,56
2606,00;98,57
2605,00;98,57
2604,00;98,57
2603,00;98,58
2602,00;98,58
2601,00;98,58
2600,00;98,59
2599,00;98,59
2598,00;98,59
2597,00;98,59
2596,00;98,59
2595,00;98,59
2594,00;98,60
2593,00;98,60
2592,00;98,61
2591,00;98,61
2590,00;98,62
2589,00;98,63
2588,00;98,63
2587,00;98,62
2586,00;98,62
2585,00;98,62
2584,00;98,62
2583,00;98,61
2582,00;98,62
2581,00;98,62
2580,00;98,62
2579,00;98,63
2578,00;98,63
2577,00;98,63
2576,00;98,63
2575,00;98,63
2574,00;98,63
2573,00;98,63
2572,00;98,63
2571,00;98,63
2570,00;98,63
2569,00;98,62
2568,00;98,62
2567,00;98,61
2566,00;98,61
2565,00;98,61
2564,00;98,60
2563,00;98,59
2562,00;98,59
2561,00;98,58
2560,00;98,58
2559,00;98,58
2558,00;98,58
2557,00;98,58
2556,00;98,57
2555,00;98,57
2554,00;98,56
2553,00;98,55
2552,00;98,55
2551,00;98,54
2550,00;98,54
2549,00;98,54
2548,00;98,54
2547,00;98,53
2546,00;98,53
2545,00;98,52
2544,00;98,51
2543,00;98,51
2542,00;98,51
2541,00;98,51
2540,00;98,52
2539,00;98,52
2538,00;98,53
2537,00;98,53
2536,00;98,54
2535,00;98,54
2534,00;98,54
2533,00;98,54
2532,00;98,54
2531,00;98,54
2530,00;98,55
2529,00;98,56
2528,00;98,57
2527,00;98,57
2526,00;98,57
2525,00;98,57
2524,00;98,57
2523,00;98,58
2522,00;98,58
2521,00;98,59
2520,00;98,59
2519,00;98,59
2518,00;98,59
2517,00;98,58
2516,00;98,57
2515,00;98,57
2514,00;98,57
2513,00;98,58
2512,00;98,58
2511,00;98,58
2510,00;98,59
2509,00;98,59
2508,00;98,60
2507,00;98,60
2506,00;98,60
2505,00;98,60
2504,00;98,60
2503,00;98,60
2502,00;98,60
2501,00;98,60
2500,00;98,60
2499,00;98,61
2498,00;98,62
2497,00;98,63
2496,00;98,64
2495,00;98,65
2494,00;98,66
2493,00;98,67
2492,00;98,67
2491,00;98,68
2490,00;98,69
2489,00;98,69
2488,00;98,70
2487,00;98,70
2486,00;98,71
2485,00;98,71
2484,00;98,71
