cm-1;%T
2940,00;93,73
2939,00;93,63
2938,00;93,52
2937,00;93,42
2936,00;93,31
2935,00;93,19
2934,00;93,07
2933,00;92,95
2932,00;92,83
2931,00;92,71
2930,00;92,60
2929,00;92,50
2928,00;92,40
2927,00;92,31
2926,00;92,24
2925,00;92,18
2924,00;92,14
2923,00;92,13
2922,00;92,13
2921,00;92,15
2920,00;92,19
2919,00;92,25
2918,00;92,33
2917,00;92,42
2916,00;92,52
2915,00;92,63
2914,00;92,75
2913,00;92,86
2912,00;92,97
2911,00;93,06
2910,00;93,15
2909,00;93,22
2908,00;93,28
2907,00;93,33
2906,00;93,37
2905,00;93,42
2904,00;93,46
2903,00;93,50
2902,00;93,54
2901,00;93,57
2900,00;93,61
2899,00;93,65
2898,00;93,68
2897,00;93,72
2896,00;93,75
2895,00;93,78
2894,00;93,82
2893,00;93,86
2892,00;93,89
2891,00;93,93
2890,00;93,97
2889,00;94,01
2888,00;94,04
2887,00;94,08
2886,00;94,11
2885,00;94,14
2884,00;94,16
2883,00;94,18
2882,00;94,20
2881,00;94,21
2880,00;94,22
2879,00;94,23
2878,00;94,23
2877,00;94,23
2876,00;94,22
2875,00;94,21
2874,00;94,20
2873,00;94,20
2872,00;94,19
2871,00;94,20
2870,00;94,20
2869,00;94,21
2868,00;94,21
2867,00;94,21
2866,00;94,20
2865,00;94,18
2864,00;94,15
2863,00;94,10
2862,00;94,04
2861,00;93,97
2860,00;93,89
2859,00;93,80
2858,00;93,72
2857,00;93,63
2856,00;93,56
2855,00;93,51
2854,00;93,48
2853,00;93,48
2852,00;93,51
2851,00;93,57
2850,00;93,67
2849,00;93,81
2848,00;93,96
2847,00;94,12
2846,00;94,27
2845,00;94,42
2844,00;94,55
2843,00;94,66
2842,00;94,76
2841,00;94,85
2840,00;94,93
2839,00;95,00
2838,00;95,07
2837,00;95,13
2836,00;95,18
2835,00;95,23
2834,00;95,28
2833,00;95,32
2832,00;95,36
2831,00;95,39
2830,00;95,43
2829,00;95,46
2828,00;95,49
2827,00;95,52
2826,00;95,55
2825,00;95,58
2824,00;95,60
2823,00;95,62
2822,00;95,64
2821,00;95,67
2820,00;95,69
2819,00;95,71
2818,00;95,73
2817,00;95,75
2816,00;95,76
2815,00;95,77
2814,00;95,79
2813,00;95,80
2812,00;95,82
2811,00;95,83
2810,00;95,85
2809,00;95,86
2808,00;95,88
2807,00;95,89
2806,00;95,91
2805,00;95,92
2804,00;95,93
2803,00;95,94
2802,00;95,95
2801,00;95,96
2800,00;95,97
2799,00;95,99
2798,00;95,99
2797,00;96,00
2796,00;96,01
2795,00;96,02
2794,00;96,03
2793,00;96,04
2792,00;96,05
2791,00;96,06
2790,00;96,07
2789,00;96,07
2788,00;96,08
2787,00;96,09
2786,00;96,09
2785,00;96,10
2784,00;96,10
2783,00;96,11
2782,00;96,12
2781,00;96,13
2780,00;96,13
2779,00;96,14
2778,00;96,15
2777,00;96,16
2776,00;96,16
2775,00;96,17
2774,00;96,17
2773,00;96,18
2772,00;96,18
2771,00;96,19
2770,00;96,19
2769,00;96,20
2768,00;96,20
2767,00;96,21
2766,00;96,21
2765,00;96,21
2764,00;96,21
2763,00;96,22
2762,00;96,22
2761,00;96,23
2760,00;96,23
2759,00;96,24
2758,00;96,24
2757,00;96,24
2756,00;96,25
2755,00;96,25
2754,00;96,26
2753,00;96,26
2752,00;96,26
2751,00;96,27
2750,00;96,27
2749,00;96,28
2748,00;96,28
2747,00;96,28
2746,00;96,29
2745,00;96,29
2744,00;96,29
2743,00;96,29
2742,00;96,29
2741,00;96,30
2740,00;96,30
2739,00;96,30
2738,00;96,31
2737,00;96,31
2736,00;96,32
2735,00;96,32
2734,00;96,32
2733,00;96,32
2732,00;96,33
2731,00;96,33
2730,00;96,34
2729,00;96,34
2728,00;96,35
2727,00;96,35
2726,00;96,36
2725,00;96,36
2724,00;96,37
2723,00;96,37
2722,00;96,37
2721,00;96,38
2720,00;96,38
2719,00;96,39
2718,00;96,39
2717,00;96,40
2716,00;96,40
2715,00;96,41
2714,00;96,41
2713,00;96,42
2712,00;96,42
2711,00;96,42
2710,00;96,43
2709,00;96,44
2708,00;96,44
2707,00;96,45
2706,00;96,45
2705,00;96,46
2704,00;96,46
2703,00;96,47
2702,00;96,47
2701,00;96,47
2700,00;96,47
2699,00;96,47
2698,00;96,48
2697,00;96,49
2696,00;96,49
2695,00;96,50
2694,00;96,50
2693,00;96,51
2692,00;96,51
2691,00;96,51
2690,00;96,51
2689,00;96,51
2688,00;96,52
2687,00;96,52
2686,00;96,53
2685,00;96,53
2684,00;96,53
2683,00;96,54
2682,00;96,54
2681,00;96,55
2680,00;96,55
2679,00;96,56
2678,00;96,56
2677,00;96,56
2676,00;96,56
2675,00;96,57
2674,00;96,57
2673,00;96,57
2672,00;96,58
2671,00;96,58
2670,00;96,59
2669,00;96,59
2668,00;96,60
2667,00;96,60
2666,00;96,60
2665,00;96,61
2664,00;96,61
2663,00;96,61
2662,00;96,62
2661,00;96,62
2660,00;96,62
2659,00;96,62
2658,00;96,62
2657,00;96,63
2656,00;96,63
2655,00;96,64
2654,00;96,64
2653,00;96,65
2652,00;96,65
2651,00;96,66
2650,00;96,67
2649,00;96,67
2648,00;96,68
2647,00;96,68
2646,00;96,68
2645,00;96,69
2644,00;96,69
